participant_number,quadruplet,n_correct,n_mistaken,n_abdicated,n_total,error_rate,median_choice_rt,median_prediction_rt
55,SSSM,1.0,3.0,0.0,4.0,0.75,7.3984751705,12.29691005
55,SMSM,1.0,3.0,0.0,4.0,0.75,7.4626716375,10.29044938
55,SSSS,2.0,1.0,1.0,4.0,0.3333333333333333,10.34442067,11.34442067
55,MSMS,1.0,3.0,0.0,4.0,0.75,6.7966202495,4.393449545
55,MMMS,2.0,2.0,0.0,4.0,0.5,4.661422372,5.607989192
56,SMSM,0.0,4.0,0.0,4.0,1.0,3.1040018795,4.152019858
56,SMSS,2.0,2.0,0.0,4.0,0.5,1.8689105515,8.3689105535
56,MMMM,0.0,3.0,1.0,4.0,1.0,5.151545048,
56,SSSS,1.0,3.0,0.0,4.0,0.75,1.616493702,5.044533014
56,SSSM,2.0,2.0,0.0,4.0,0.5,2.163897872,6.46113193
56,MSMS,0.0,4.0,0.0,4.0,1.0,2.257724285,
56,MMMS,2.0,1.0,1.0,4.0,0.3333333333333333,2.465634823,3.9237709044999995
56,MSMM,0.0,3.0,1.0,4.0,1.0,1.583455324,24.03279853
57,MSMM,4.0,0.0,0.0,4.0,0.0,1.792415619,3.292415619
57,MMMS,1.0,2.0,1.0,4.0,0.6666666666666666,1.642781019,3.932601452
57,SSSM,1.0,2.0,1.0,4.0,0.6666666666666666,2.773361921,4.127186179
57,SMSS,0.0,4.0,0.0,4.0,1.0,2.2835603950000003,3.2835603950000003
57,SMSM,3.0,1.0,0.0,4.0,0.25,2.186750412,2.670354366
57,MMMM,3.0,1.0,0.0,4.0,0.25,1.34021163,2.588292122
57,MSMS,2.0,2.0,0.0,4.0,0.5,1.7123806474999999,3.3643300535
57,SSSS,2.0,2.0,0.0,4.0,0.5,2.2750266789999998,3.2750266789999998
58,SSSM,0.0,4.0,0.0,4.0,1.0,3.7809364795000002,7.056293964
58,SMSS,1.0,3.0,0.0,4.0,0.75,3.3990989925,5.431427956
58,MMMS,4.0,0.0,0.0,4.0,0.0,3.1910806894999997,5.272698522
58,MSMM,4.0,0.0,0.0,4.0,0.0,2.3197957275,4.219409108
58,SSSS,2.0,1.0,1.0,4.0,0.3333333333333333,2.957453966,3.225293875
58,SMSM,1.0,3.0,0.0,4.0,0.75,2.624639511,3.172211647
58,MMMM,2.0,1.0,1.0,4.0,0.3333333333333333,2.291795015,4.5689970255
58,MSMS,1.0,3.0,0.0,4.0,0.75,3.3886234760000002,6.457871914
59,MMMS,2.0,2.0,0.0,4.0,0.5,4.4415141345,5.4460709094999995
59,MSMM,3.0,1.0,0.0,4.0,0.25,2.6711672545000003,6.386038065
59,SSSS,3.0,1.0,0.0,4.0,0.25,4.118606329,4.386646271
59,SSSM,1.0,3.0,0.0,4.0,0.75,3.049982667,6.369725943
59,SMSM,0.0,4.0,0.0,4.0,1.0,4.6294908525,6.1294908525
59,MSMS,2.0,2.0,0.0,4.0,0.5,2.8352874515,5.8847990035
59,SMSS,2.0,2.0,0.0,4.0,0.5,2.4509204625,7.096251606999999
59,MMMM,4.0,0.0,0.0,4.0,0.0,3.1273331645,4.682026267
60,MSMM,3.0,1.0,0.0,4.0,0.25,4.3899327515,8.334523439
60,MMMS,2.0,2.0,0.0,4.0,0.5,3.5274751185,5.1660704615
60,SMSM,0.0,4.0,0.0,4.0,1.0,4.7943381075,6.932719469
60,SMSS,1.0,3.0,0.0,4.0,0.75,3.3502049445,5.745371819
60,SSSS,2.0,2.0,0.0,4.0,0.5,3.4157859090000002,7.7507714035
60,MMMM,4.0,0.0,0.0,4.0,0.0,6.21498096,7.898950576999999
60,SSSM,1.0,3.0,0.0,4.0,0.75,4.045027494499999,5.521299601
60,MSMS,3.0,1.0,0.0,4.0,0.25,3.2032254934999997,4.013850212
61,MMMM,4.0,0.0,0.0,4.0,0.0,3.9776860475,5.6470565795
61,SMSM,1.0,3.0,0.0,4.0,0.75,5.707029462,6.428246975
61,SSSM,0.0,4.0,0.0,4.0,1.0,4.327311993,7.581387042999999
61,MMMS,2.0,2.0,0.0,4.0,0.5,4.7945313455,6.759950160999999
61,MSMS,3.0,1.0,0.0,4.0,0.25,3.6852686405000004,4.41455102
61,SSSS,3.0,0.0,1.0,4.0,0.0,6.200855255,
61,SMSS,1.0,3.0,0.0,4.0,0.75,4.1389324665,10.3951633
61,MSMM,3.0,1.0,0.0,4.0,0.25,5.966377735,8.039890766
62,MMMS,0.0,4.0,0.0,4.0,1.0,4.840866089,
62,MSMM,3.0,1.0,0.0,4.0,0.25,5.9308267830000005,10.6096225955
62,SMSS,2.0,2.0,0.0,4.0,0.5,7.4293397665,9.857007743
62,SMSM,1.0,3.0,0.0,4.0,0.75,5.134093523000001,7.264493227
62,SSSS,2.0,2.0,0.0,4.0,0.5,5.6205872295,10.098434687000001
62,MMMM,3.0,1.0,0.0,4.0,0.25,6.677498698000001,7.310544014
62,SSSM,0.0,4.0,0.0,4.0,1.0,4.031587362,8.153270484
62,MSMS,2.0,2.0,0.0,4.0,0.5,5.712220310999999,7.8406746384999995
63,MSMS,3.0,1.0,0.0,4.0,0.25,4.1545755865,6.814405203
63,MMMM,4.0,0.0,0.0,4.0,0.0,4.739070535,5.239070535
63,MMMS,2.0,2.0,0.0,4.0,0.5,6.4810876845,15.259950158999999
63,SMSM,1.0,3.0,0.0,4.0,0.75,7.367290616,8.428246975
63,SMSS,2.0,2.0,0.0,4.0,0.5,4.6968052385,5.732634902
63,MSMM,4.0,0.0,0.0,4.0,0.0,6.966377735,8.966377735
63,SSSM,0.0,4.0,0.0,4.0,1.0,5.081387042999999,7.581387042999999
63,SSSS,4.0,0.0,0.0,4.0,0.0,9.432291986500001,
64,MMMM,4.0,0.0,0.0,4.0,0.0,3.0617679355,4.061767935500001
64,SMSM,0.0,4.0,0.0,4.0,1.0,2.8325277565,4.3325277565
64,MSMM,4.0,0.0,0.0,4.0,0.0,3.3399764295,4.8399764295
64,SMSS,2.0,2.0,0.0,4.0,0.5,3.8679754734999996,4.4301438335
64,SSSM,2.0,2.0,0.0,4.0,0.5,3.3984751705000003,4.0298950675
64,MMMS,2.0,2.0,0.0,4.0,0.5,2.9808781145000003,3.9808781145
64,SSSS,1.0,3.0,0.0,4.0,0.75,3.796859503,5.769891262
64,MSMS,2.0,2.0,0.0,4.0,0.5,3.1471284625,4.327231406999999
65,SMSS,4.0,0.0,0.0,4.0,0.0,6.8570077419999995,
65,MMMS,1.0,3.0,0.0,4.0,0.75,4.4997376204999995,10.69869542
65,SSSM,2.0,2.0,0.0,4.0,0.5,6.2904440165,12.14103413
65,SSSS,4.0,0.0,0.0,4.0,0.0,4.1205872295,
65,MMMM,3.0,1.0,0.0,4.0,0.25,3.9393053050000004,9.834157228
65,SMSM,2.0,2.0,0.0,4.0,0.5,6.407843590000001,7.777443886
65,MSMM,3.0,1.0,0.0,4.0,0.25,4.4902671575,6.9902671575
65,MSMS,2.0,2.0,0.0,4.0,0.5,3.405723214,7.2772688865
66,MSMS,1.0,3.0,0.0,4.0,0.75,4.4035060405,5.522122383
66,MSMM,3.0,1.0,0.0,4.0,0.25,4.8994725945,6.412435293
66,SSSS,1.0,2.0,1.0,4.0,0.6666666666666666,6.227831602,10.697128176
66,MMMM,4.0,0.0,0.0,4.0,0.0,6.2556860445,9.3349084845
66,SSSM,1.0,3.0,0.0,4.0,0.75,6.1436713935,7.310759783
66,SMSS,4.0,0.0,0.0,4.0,0.0,7.296579122500001,
66,SMSM,1.0,3.0,0.0,4.0,0.75,5.9762096405000005,8.336618185
66,MMMS,3.0,1.0,0.0,4.0,0.25,4.930099845,6.172513962
67,MMMM,4.0,0.0,0.0,4.0,0.0,3.614158392,5.114158392
67,SMSM,0.0,4.0,0.0,4.0,1.0,3.3047460315,5.804746031500001
67,SSSS,0.0,4.0,0.0,4.0,1.0,2.60833776,5.8231475355
67,MSMM,3.0,1.0,0.0,4.0,0.25,2.8291329145,3.684303045
67,MMMS,3.0,1.0,0.0,4.0,0.25,2.1720107795,3.265131474
67,SMSS,2.0,2.0,0.0,4.0,0.5,2.4959266185,4.0550029275
67,MSMS,3.0,1.0,0.0,4.0,0.25,1.5133944750000001,2.879139423
67,SSSM,0.0,4.0,0.0,4.0,1.0,3.8205542565,7.3205542564999995
68,SSSS,2.0,1.0,1.0,4.0,0.3333333333333333,4.915718079,11.608337759
68,SMSM,2.0,2.0,0.0,4.0,0.5,4.304746031500001,6.3053638935
68,SSSM,2.0,2.0,0.0,4.0,0.5,3.0369780065,4.2566654680000005
68,MMMS,2.0,2.0,0.0,4.0,0.5,3.094598532,4.8931905035000005
68,SMSS,1.0,3.0,0.0,4.0,0.75,4.249034524,5.901432514
68,MSMM,3.0,1.0,0.0,4.0,0.25,3.680508494,4.676713943
68,MMMM,3.0,1.0,0.0,4.0,0.25,2.8618189095,5.389944792
68,MSMS,3.0,1.0,0.0,4.0,0.25,6.418502331,6.818125725
69,SMSS,2.0,2.0,0.0,4.0,0.5,4.3679754735,5.3679754735
69,MMMM,4.0,0.0,0.0,4.0,0.0,4.20976007,5.20976007
69,MMMS,2.0,2.0,0.0,4.0,0.5,3.349578619,5.480878114499999
69,SSSM,1.0,3.0,0.0,4.0,0.75,5.014077067500001,6.265274048
69,SMSM,1.0,3.0,0.0,4.0,0.75,3.9626716375,4.290449381
69,MSMS,4.0,0.0,0.0,4.0,0.0,3.7549834250000003,4.2855945825
69,MSMM,4.0,0.0,0.0,4.0,0.0,3.4562035795000003,5.4562035795
69,SSSS,2.0,2.0,0.0,4.0,0.5,3.5571559665,5.3211688995
70,MSMS,0.0,4.0,0.0,4.0,1.0,0.5182124375,
70,MMMM,2.0,2.0,0.0,4.0,0.5,1.3633841275,3.7422568795
70,MMMS,1.0,3.0,0.0,4.0,0.75,2.27160275,2.70656848
70,SMSS,3.0,1.0,0.0,4.0,0.25,2.0273485184999998,2.997131109
70,SSSS,2.0,2.0,0.0,4.0,0.5,1.984839797,3.093833327
70,SSSM,2.0,1.0,1.0,4.0,0.3333333333333333,3.12830019,4.4270265105
70,SMSM,2.0,2.0,0.0,4.0,0.5,1.4459404944999998,2.2582873105
70,MSMM,3.0,0.0,1.0,4.0,0.0,2.530802727,3.4536296130000004
71,SMSM,1.0,3.0,0.0,4.0,0.75,1.4079807995,3.628160477
71,SSSS,3.0,1.0,0.0,4.0,0.25,1.4730739595,0.969111443
71,MMMS,2.0,2.0,0.0,4.0,0.5,1.262582779,1.1660704615
71,MSMM,3.0,1.0,0.0,4.0,0.25,3.551265478,6.551142454
71,MMMM,1.0,3.0,0.0,4.0,0.75,2.3399292230000004,4.02389884
71,SMSS,2.0,1.0,1.0,4.0,0.3333333333333333,1.745371819,12.7110298875
71,MSMS,3.0,1.0,0.0,4.0,0.25,1.5394201280000002,3.392600775
71,SSSM,0.0,4.0,0.0,4.0,1.0,1.5219377280000002,2.457731247
72,SSSM,0.0,4.0,0.0,4.0,1.0,5.014077067500001,5.63146019
72,MMMS,1.0,3.0,0.0,4.0,0.75,4.980878114499999,6.796145439
72,MSMS,3.0,1.0,0.0,4.0,0.25,5.1471284625,5.393449545
72,MMMM,4.0,0.0,0.0,4.0,0.0,6.1637277605000005,7.1637277605000005
72,SMSS,3.0,1.0,0.0,4.0,0.25,6.949708939,8.639093161
72,MSMM,3.0,1.0,0.0,4.0,0.25,5.458278656,5.924467564
72,SSSS,2.0,2.0,0.0,4.0,0.5,7.0571559665,5.8211688995
72,SMSM,2.0,2.0,0.0,4.0,0.5,6.4626716375,7.462671637
73,MSMM,3.0,1.0,0.0,4.0,0.25,6.402077675,7.039890766
73,SMSS,2.0,2.0,0.0,4.0,0.5,5.232634902,5.9764040705
73,SSSS,3.0,1.0,0.0,4.0,0.25,8.075334668,8.896409273
73,MMMS,3.0,1.0,0.0,4.0,0.25,4.9039399625,9.369358778
73,MSMS,1.0,3.0,0.0,4.0,0.75,6.6852686405,8.814405203
73,SMSM,1.0,3.0,0.0,4.0,0.75,7.707029462,6.985811949
73,MMMM,4.0,0.0,0.0,4.0,0.0,6.1470565795,10.147056581000001
73,SSSM,1.0,3.0,0.0,4.0,0.75,8.0997134435,7.775173187
74,SMSM,1.0,3.0,0.0,4.0,0.75,8.753422975500001,7.615801096
74,SMSS,2.0,2.0,0.0,4.0,0.5,7.4747447970000005,11.314253449999999
74,MMMS,2.0,1.0,1.0,4.0,0.3333333333333333,3.865476608,7.172513962
74,SSSM,1.0,3.0,0.0,4.0,0.75,6.9379690885,6.81337285
74,MMMM,3.0,1.0,0.0,4.0,0.25,4.8349084855,5.930383682
74,SSSS,1.0,3.0,0.0,4.0,0.75,5.9566913845,8.685551167
74,MSMM,4.0,0.0,0.0,4.0,0.0,5.8994725945,9.899472592999999
74,MSMS,3.0,0.0,1.0,4.0,0.0,4.284889698,6.2607827185
